name,u_star_2d,wsc,dir_metmast_60m,T_10m,wsp_metmast_10m,wsp_metmast_40m,wsp_metmast_60m,wsp_metmast_80m,wsp_metmast_100m
200801011110,0.244,-0.006,57.5034,2.84162,4.11172,5.12084,5.5275,5.99621,6.27096
200801011120,0.267,-0.0064,61.8899,2.87824,4.28879,5.51899,5.97281,6.35948,6.57813
200801011130,0.289,-0.0061,66.2671,2.91027,4.73139,5.73289,6.28071,6.56488,6.7661
200801011140,0.225,-0.0039,61.8998,2.92588,3.94193,4.99631,5.49835,5.8319,6.1745
200801011150,0.21,-0.0039,61.0506,2.97559,3.53333,4.47036,4.82909,5.27467,5.71982
200801011200,0.203,-0.0043,64.8833,3.04268,3.59263,4.63002,5.1187,5.35474,5.66032
200801011210,0.206,-0.0043,64.9569,3.12058,3.21372,4.02411,4.36392,4.67504,4.92759
200801011220,0.305,-0.0072,68.7166,3.17636,3.77187,4.64351,5.19579,5.61161,5.90513
200801011230,0.235,-0.005,72.9712,3.19963,3.74567,4.50373,4.75768,4.99348,5.36262
200801011240,0.289,-0.0074,67.5793,3.23603,4.13103,4.78035,5.04217,5.32111,5.56858
200801011250,0.244,-0.0047,63.6277,3.3121,4.1101,4.84986,5.20414,5.49381,5.64132
200801011300,0.197,-0.0024,63.2014,3.43249,3.68981,4.48803,4.80172,4.97121,5.03342
200801011310,0.253,-0.0054,67.4218,3.45,4.25119,5.13678,5.3631,5.3992,5.42382
200801011320,0.247,-0.0035,68.9263,3.34202,4.86842,5.78157,5.96441,6.20329,6.39481
200801011330,0.268,-0.0098,68.1757,3.26944,4.22853,5.2909,5.60856,5.92823,6.06287
200801011340,0.232,-0.005,76.3581,3.22604,4.26994,5.13925,5.60008,5.78006,6.02288
200801011350,0.273,-0.0046,79.2801,3.17406,4.56627,5.72742,6.12323,6.51866,6.91794
200801011400,0.299,-0.003,74.8758,3.16575,5.44514,6.25513,6.57119,6.84969,7.02042
200801011410,0.262,-0.0047,74.6102,3.18421,4.86455,5.90241,6.18732,6.33452,6.69739
200801011420,0.288,-0.0065,79.0792,3.18858,4.34656,5.21972,5.51836,5.87529,6.13986
200801011430,0.263,-0.0052,81.652,3.17239,4.09997,5.22078,5.58569,5.8223,6.02198
200801011440,0.327,-0.0064,78.1414,3.16733,5.51006,6.58783,7.19052,7.59795,8.03364
200801011450,0.301,-0.009,70.7214,3.16677,5.58959,6.7328,7.20084,7.42109,7.63806
200801011500,0.269,-0.0075,68.7602,3.15111,5.16551,6.22886,6.61372,6.86242,7.06978
200801011510,0.221,-0.0069,71.0921,3.13093,3.94599,4.87299,5.26357,5.72165,5.90111
200801011520,0.236,-0.0067,81.6352,3.12476,3.65323,4.63028,4.9312,5.05803,5.20787
200801011530,0.088,-0.0028,76.9523,3.06812,2.75215,3.46872,3.62901,3.78569,4.05645
200801011540,0.105,-0.0028,71.261,3.02276,2.95282,3.85252,4.17178,4.51382,4.90535
200801011550,0.119,-0.0043,71.2765,2.95528,3.25223,4.43318,4.78892,5.32752,5.64767
200801011600,0.182,-0.0073,71.484,2.96214,3.46209,4.73284,5.23861,5.6551,6.04175
200801011610,0.165,-0.0074,68.5125,2.85822,3.49235,4.89481,5.50395,5.94949,6.35703
200801011620,0.246,-0.0097,67.7245,2.91486,3.92913,5.27541,5.88522,6.43914,6.97491
200801011630,0.24,-0.0095,70.0272,2.99221,4.06849,5.2357,5.98969,6.70586,7.22743
200801011640,0.188,-0.0063,71.4902,2.97605,3.96619,5.16027,5.6576,6.10854,6.63785
200801011650,0.157,-0.0084,72.8266,2.89977,3.73728,5.07146,5.69424,6.26046,6.77842
200801011700,0.162,-0.0075,74.3591,2.82336,3.52012,4.92416,5.53237,6.10316,6.60747
200801011710,0.146,-0.007,68.0305,2.80167,2.81577,3.87998,4.45498,5.17701,5.74791
200801011720,0.123,-0.0078,59.9102,2.74577,2.58043,3.68103,4.35487,4.9197,5.49145
200801011730,0.139,-0.005,62.1151,2.8951,2.63875,3.63516,4.16098,4.95314,5.53734
200801011740,0.129,-0.0057,55.3023,2.8696,2.0481,3.05329,3.52501,4.16844,4.95598
200801011750,0.076,-0.0017,57.6246,2.80168,2.34591,3.46588,3.98547,4.52587,5.09107
200801011910,0.102,-0.0037,71.1956,3.1592,2.47394,3.78557,4.44829,5.02949,5.53646
200801011920,0.098,-0.0036,64.0936,3.21415,2.77737,4.06964,4.72709,5.26353,5.88076
200801011930,0.137,-0.0068,65.7306,3.29862,3.10487,4.54179,5.13774,5.76164,6.18184
200801011940,0.189,-0.0078,71.0211,3.36055,2.95535,4.14214,4.67053,5.1944,5.53531
200801011950,0.137,-0.0069,69.9454,3.33106,2.87818,4.22481,4.86025,5.3578,5.79263
200801012000,0.152,-0.0074,69.2395,3.33017,3.38377,4.56859,5.1181,5.58426,6.08122
200801012010,0.119,-0.0056,64.4302,3.32643,3.30239,4.52662,5.12963,5.62044,6.09323
200801012020,0.186,-0.007,64.0651,3.3315,3.64106,4.8375,5.42898,5.88595,6.32288
200801012030,0.167,-0.0068,66.2535,3.34148,4.01734,5.28783,5.83886,6.25344,6.69946
200801012040,0.196,-0.0067,66.8078,3.23201,3.98249,5.13111,5.66669,6.19847,6.7089
200801012050,0.175,-0.0068,60.3607,3.26065,4.01033,5.19873,5.68863,6.13508,6.45502
200801012100,0.236,-0.0087,64.4867,3.20677,4.24521,5.51034,6.0015,6.49672,6.93817
200801012110,0.232,-0.0083,69.4966,3.1571,4.37325,5.59057,6.01057,6.46706,7.09018
200801012120,0.142,-0.005,76.2331,3.16201,3.34243,4.43983,4.94782,5.36283,5.82646
200801012130,0.22,-0.0066,74.851,3.16065,3.45828,4.50666,4.96908,5.37705,5.81898
200801012140,0.214,-0.0063,71.8863,3.18448,3.57554,4.78134,5.32712,5.83392,6.39356
200801012150,0.186,-0.0055,67.9443,3.14548,3.64841,4.77603,5.23162,5.72507,6.29342
200801012200,0.162,-0.0045,61.5359,3.11764,3.3517,4.60776,5.19729,5.65182,6.19248
200801012210,0.199,-0.0065,62.7544,3.16315,3.54224,4.78191,5.36011,5.90519,6.44035
200801012220,0.205,-0.0067,68.9665,3.16548,3.46685,4.66414,5.368,6.01499,6.57825
200801012230,0.184,-0.0056,69.4264,3.21225,3.52235,4.7405,5.46691,6.04117,6.6207
200801012240,0.229,-0.0095,61.8611,3.2267,4.34161,5.46023,6.15318,6.69697,7.24714
200801012250,0.213,-0.0093,62.5669,3.27722,4.20726,5.47935,6.17559,6.69413,7.24602
200801012300,0.264,-0.0112,60.0804,3.36365,4.20837,5.43464,5.90196,6.40312,6.98414
200801012310,0.237,-0.0078,59.7222,3.27332,4.44187,5.58673,6.1106,6.66731,7.23889
200801012320,0.192,-0.0053,67.6111,3.34442,4.3162,5.65426,6.26215,6.7503,7.51081
200801012330,0.168,-0.0077,70.4632,3.46234,3.91396,5.11115,5.53004,6.02915,6.58669
200801012340,0.244,-0.0098,62.2422,3.46639,3.7539,5.24456,5.71171,6.21757,6.57771
200801012350,0.225,-0.0075,56.3257,3.29247,4.32773,5.51667,5.98344,6.39824,6.78704
200801020000,0.212,-0.0051,56.91,3.30603,4.46203,5.59573,6.1685,6.61036,7.13757
200801020010,0.204,-0.0063,59.0175,3.32385,4.33803,5.5912,6.05105,6.52233,7.11732
200801020020,0.221,-0.0077,60.5834,3.36574,4.2577,5.5774,6.32589,6.82967,7.4288
200801020030,0.259,-0.0102,60.8995,3.4555,4.85123,6.13795,6.74766,7.33118,8.05759
200801020040,0.271,-0.0085,63.6814,3.45346,4.90261,6.23416,6.88065,7.47336,8.1803
200801020050,0.257,-0.0073,63.4684,3.53174,4.80249,6.32703,7.09554,7.71356,8.43286
200801020100,0.216,-0.0094,67.6814,3.55896,4.8284,6.38788,7.04186,7.6925,8.37875
200801020110,0.29,-0.0122,68.8706,3.64476,5.36333,6.91344,7.57694,8.1437,8.86293
200801020120,0.323,-0.0116,69.3651,3.66755,5.70713,7.18029,7.88312,8.60974,9.38825
200801020130,0.323,-0.0128,69.506,3.72025,5.70168,7.18136,7.77887,8.49674,9.21841
200801020140,0.289,-0.0108,67.2871,3.71527,5.15429,6.7873,7.39344,8.14496,8.7732
200801020150,0.301,-0.0129,69.0497,3.71285,5.39083,6.91647,7.67276,8.26598,8.76926
200801020200,0.272,-0.01,71.4638,3.76709,5.04901,6.52148,7.27454,7.9059,8.46975
200801020210,0.273,-0.0116,74.6614,3.77509,4.90581,6.23334,6.98696,7.69837,8.20729
200801020220,0.31,-0.0118,78.9175,3.77751,4.49932,6.06273,6.71568,7.16216,7.7415
200801020230,0.305,-0.0116,83.3462,3.80937,4.68342,6.31368,7.02937,7.77671,8.37674
200801020240,0.282,-0.0089,83.957,3.85372,5.02767,6.6002,7.26469,7.90194,8.40734
200801020250,0.307,-0.0141,88.3326,3.85809,4.63416,6.03274,6.72504,7.45748,8.17248
200801020300,0.363,-0.014,89.896,3.95602,5.29193,7.04139,7.7048,8.24622,8.88446
200801020310,0.303,-0.0117,91.873,3.89645,5.35462,6.72715,7.21199,7.67667,8.29888
200801020320,0.287,-0.0124,93.4757,3.81172,5.31154,6.85723,7.46294,8.16362,8.84798
200801020330,0.255,-0.0106,94.395,3.72125,5.19334,6.71018,7.47318,8.17847,8.92675
200801020340,0.298,-0.0155,99.856,3.58151,5.32548,6.90491,7.69675,8.43737,9.10966
200801020350,0.273,-0.0157,97.1989,3.35537,5.24645,6.85628,7.75494,8.58041,9.21966
200801020400,0.233,-0.0064,92.2318,3.11983,4.4135,6.28331,7.14643,7.91752,8.75179
200801020410,0.156,-0.0084,89.7129,2.85585,4.14527,6.25716,7.20996,7.95906,8.54544
200801020420,0.197,-0.0117,85.8823,2.88294,4.05305,6.03715,6.94522,7.66069,8.36941
200801020430,0.197,-0.0125,84.8415,2.72005,3.8458,5.59818,6.58567,7.3552,8.12863
200801020440,0.197,-0.0134,88.6229,2.64515,3.92757,5.8608,6.72753,7.78063,8.77149
200801020450,0.178,-0.009,90.6411,2.54056,3.6076,5.61516,6.55587,7.7538,8.87065
200801020500,0.164,-0.007,90.3177,2.48187,3.83728,5.86901,6.82155,7.82254,8.79233
200801020510,0.14,-0.0082,88.7978,2.43978,3.68819,5.75125,6.74187,7.54863,8.45949
200801020520,0.206,-0.0122,90.3466,2.49259,3.68429,5.59838,6.68413,7.51742,8.27037
200801020530,0.279,-0.0115,92.0193,2.60158,4.34409,6.13597,6.89826,7.56852,8.42408
200801020540,0.245,-0.0115,93.7545,2.74373,4.14891,5.88829,6.87236,7.78805,8.61479
200801020550,0.246,-0.0117,91.5847,2.85654,4.39698,6.23571,7.24207,8.16942,8.9718
200801020600,0.227,-0.0105,86.925,2.93898,4.33859,6.24747,7.08097,7.75744,8.56845
200801020610,0.249,-0.0104,84.4995,2.97299,4.16539,5.71756,6.64582,7.56794,8.33348
200801020620,0.199,-0.0094,84.938,2.94875,4.18358,5.89209,6.65184,7.42351,8.1787
200801020630,0.221,-0.0087,85.0611,2.93535,4.19914,5.84432,6.50172,7.24038,7.9523
200801020640,0.221,-0.0094,85.6923,2.91357,4.16905,6.13952,6.82717,7.56138,8.27306
200801020650,0.223,-0.0099,85.3951,2.93936,4.45346,6.07478,6.86211,7.62732,8.28976
200801020700,0.195,-0.0066,82.9165,2.87528,4.22132,5.92102,6.78425,7.45901,7.98518
200801020710,0.222,-0.0085,82.642,2.88959,4.39035,6.04147,6.79639,7.40415,8.02268
200801020720,0.205,-0.0084,83.7214,2.87677,4.57342,6.21922,7.01696,7.6646,8.30679
200801020730,0.279,-0.0102,80.73,2.87609,4.88999,6.61719,7.55879,8.18686,8.73742
200801020740,0.259,-0.0096,75.8801,2.94566,4.8914,6.31319,7.04924,7.71395,8.44808
200801020750,0.283,-0.0135,79.127,2.97476,4.87646,6.63737,7.39661,8.16767,8.73972
200801020800,0.27,-0.014,83.4123,2.96134,5.25855,6.96836,7.83425,8.57431,9.24332
200801020810,0.283,-0.0158,83.5081,2.92076,5.28241,7.17643,7.96654,8.79644,9.53459
200801020820,0.307,-0.0159,86.4486,2.97973,5.68999,7.87587,8.77403,9.70966,10.6698
200801020830,0.306,-0.0169,84.8013,2.95743,5.17608,6.92105,7.80732,8.51009,9.42281
200801020840,0.291,-0.0156,85.1373,2.9768,4.9175,6.64716,7.55979,8.41895,9.14319
